"TYPE","PARENT","STATE","COMPLETED","FOCUS","NAME","TAGS","TIME","ENERGY","WAITINGFOR","STARTDATE","DUEDATE","NOTES",
"Task","Standalone","Logbook","2024-8-11","","Welcome to Nirvana!","personal, work","10","","","","","Let's take a few minutes to get acquainted.  :-)We've placed a number of actions here and there with tips to get you started, plus a project named ""Brush up on GTD®"" for when you're ready to dive deeper.",
"Task","Standalone","Logbook","2024-8-11","","On a computer? click the note →","work, computer","5","","","","","If you're on a computer, there are a number of tricks you'll find indispensable: - Drag-n-drop to move and sort - Right-click and see what happens - Press N to create a new action",
"Task","Standalone","Logbook","2024-8-11","","On mobile? try these gestures","personal, anywhere","5","","","","","Here are a few gestures you'll want to have at your finger tips when using Nirvana on a mobile device: - Long-press to move me around - Swipe left and see what happens - Pull down to refresh",
"Task","Standalone","Someday","","","Clean out the attic","home","","","","","","just kidding",
"Project","Standalone","Logbook","2024-8-11","","Brush up on GTD®","","","","","","","",
"Task","Brush up on GTD®","Logbook","2024-8-12","","Read the Book","","240","Medium","","","","Getting Things Done: The Art of Stress-Free Productivity, by David Allen https://nirvanahq.com/go/readthebook",
"Task","Brush up on GTD®","Logbook","2024-8-12","","Read our Quick Guide","","15","Low","","","","In this quick read we walk through the high-level GTD® workflow as explained in the book, Getting Things Done: The Art of Stress-Free Productivity, and highlight how it applies to getting things done with Nirvana. https://nirvanahq.com/go/getting-started",
"Task","Brush up on GTD®","Logbook","2024-8-12","","Follow Us on Social Media","","5","Low","","","","We encourage you to follow us for the latest news and updates! - https://medium.com/nirvanahq- https://twitter.com/nirvanahq- https://facebook.com/nirvanahq",
"Project","Standalone","Logbook","2024-8-12","","New hire buddy","","","","","","","",
"Task","New hire buddy","Logbook","2024-8-12","","Reach out to Nicolas","","","","","","","",
"Project","Standalone","Logbook","2024-8-13","","AP Dash","","","","","","","",
"Task","AP Dash","Logbook","2024-8-12","","Read the latest design documents","","","","","","","https://www.notion.so/canarytechnologies/Above-Property-User-Management-API-77b1872293ab430a98a63aec4e281e8d?d=b0057597200c4b508273bb2772f61f8f#c6093e39ddcb4d8d9fce045094c1779e",
"Project","Standalone","Logbook","2025-6-24","","Administrivia","","","","","","","",
"Task","Administrivia","Logbook","2024-8-12","","Linear tickets to 0","","","","","","","",
"Project","Standalone","Logbook","2024-9-5","","Permissions","","","","","","","",
"Task","Permissions","Logbook","2024-9-5","","Look through outstanding work and specify/schedule","","","","","","","",
"Task","Administrivia","Logbook","2024-8-12","","TRansfer canary work notes to nirvana","","","","","","","",
"Task","AP Dash","Logbook","2024-8-12","","Log in to an account with the feature","","","","","","","",
"Project","Standalone","Logbook","2024-8-26","","VGS deletion","","","","","","","",
"Task","VGS deletion","Logbook","2024-8-26","","Create a go live plan for VGS deletion with limited throughput","","","","","","","",
"Task","Portfolio Property Grant","Logbook","2024-9-19","","To Do","","","","","","","",
"Task","Permissions","Logbook","2024-9-5","","- [ ] remove company constraint from role","","","","","","","",
"Task","VGS deletion","Logbook","2024-8-26","","- [ ] VGS - will need to analyze costs around volatile/permanent tokens]","","","","","","","",
"Task","VGS deletion","Logbook","2024-8-26","","run formstack -> formweaver VGS token ref","","","","","","","",
"Task","VGS deletion","Logbook","2024-8-26","","run deleted VGS token ref","","","","","","","",
"Task","Administrivia","Logbook","2024-8-12","","Access readonly shell","","","","","","","",
"Task","Administrivia","Logbook","2024-8-12","","run locally","","","","","","","",
"Project","Standalone","Logbook","2024-11-7","","BW Script Batch","","","","","","","",
"Task","BW Script Batch","Logbook","2024-8-12","","locate documents and read","","","","","","","",
"Task","AP Dash","Logbook","2024-8-12","","review SR: https://github.com/canary-technologies-corp/canarytech_dev/pull/16385","","","","","","","https://github.com/canary-technologies-corp/canarytech_dev/pull/16385https://github.com/canary-technologies-corp/canarytech_dev/pull/16161https://github.com/canary-technologies-corp/canarytech_dev/pull/16126",
"Task","AP Dash","Logbook","2024-8-13","","Work through the figma to plan UI implementation","planning","15","Medium","","","","",
"Task","Administrivia","Logbook","2025-6-26","","Plan eng leads weekly meeting agenda","admin","15","Low","","","","Monthly goals  * Pick out what matters to other teams* Friday demos* Discussion topics  * high risk changes* freeform - takes notes",
"Project","Standalone","Logbook","2024-12-12","","Support eng","","","","","","","",
"Task","Support eng","Logbook","2024-8-13","","Set up a time to swap learnings with Andrea B","admin","5","Low","","","","",
"Project","Standalone","Logbook","2024-10-24","","Salesforce ops","","","","","","","",
"Task","Salesforce ops","Logbook","2024-8-12","","schedule the meeting to prioritize sf-ops tickets","","","","","","","",
"Project","Standalone","Logbook","2025-3-28","","Wyndham","","","","","","","",
"Task","Wyndham","Logbook","2024-8-16","","Review chat swap design","planning","15","Medium","","","","https://www.notion.so/canarytechnologies/Wyndham-Support-Chat-Code-Swap-9b0a7422770746818da4cbbb5797bd27https://linear.app/canary-technologies/issue/COR-1786/plan-for-wyndham-support-chat-code-swap",
"Task","AP Dash","Logbook","2024-8-13","","Review above property UI design","planning","15","High","","","","https://www.notion.so/canarytechnologies/Above-Property-User-Management-UI-c7ad27dd1958492d84d5a888d2cd1803",
"Task","AP Dash","Logbook","2024-8-13","","Plan own implementation of first UI ticket as Nirvana project","planning","30","High","","","","",
"Task","Salesforce ops","Logbook","2024-8-13","","Prep for prioritization meeting","planning","15","Medium","","","","",
"Task","Administrivia","Logbook","2024-8-12","","schedule 1-1s and reach out","admin","30","Low","","","","",
"Task","Administrivia","Logbook","2024-8-13","","State that I'll be in syncs but not sprint planning for SDM","","10","Low","","","","",
"Task","AP Dash","Logbook","2024-8-13","","Decide order of own tickets","planning","","","","","","",
"Task","AP Dash","Logbook","2024-8-14","","REview SR tickets","planning","30","High","","","","",
"Project","Standalone","Logbook","2024-8-29","","Portfolio on SSO Org","","","","","","","https://linear.app/canary-technologies/issue/COR-1825/sso-updates-for-portfolios-roles",
"Task","Portfolio on SSO Org","Logbook","2024-8-28","","Mini eng design","planning","30","High","","","","",
"Project","Standalone","Logbook","2024-8-21","","AP dashboard","execution","","","","","","",
"Task","AP dashboard","Logbook","2024-8-14","","Review Bridge changes","","15","Medium","","","","",
"Task","AP dashboard","Logbook","2024-8-13","","REview implementation of portfolios list","","","","","","","",
"Task","AP dashboard","Logbook","2024-8-13","","Mini ED","","","","","","","",
"Task","Administrivia","Logbook","2025-6-26","","List days off work and make all requests at once","","15","Low","","","","",
"Task","AP dashboard","Logbook","2024-8-13","","Create the framework of the page","","","","","","","Tablebuttons - export, addSearch barThe search will influence hte content of the table, so users list needs to be managed at the level above the table",
"Task","AP dashboard","Logbook","2024-8-13","","Check that SR route implementation supports everything we need","","","","","","","",
